Loaded training data: 1281167 classes: 1000
Loaded validation data: 50000 classes: 1000
Data loaded
Loaded 5 batches in 0.85 seconds
train classes: 1000
model head: 1000
Starting fresh training (no resume).
CC: (8, 9)
TF32 matmul: True
TF32 cudnn: True
[Epoch 0] start — noise=5.0e-04, kd_scale=1.00, T=3
[E0 B0] CE 6.9102 | KD 0.0075
[E0 B200] CE 6.9107 | KD 0.0072
[E0 B400] CE 6.8367 | KD 0.0144
[E0 B600] CE 6.7401 | KD 0.0091
[E0 B800] CE 6.7667 | KD 0.0056
[E0 B1000] CE 6.7082 | KD 0.0029
[E0 B1200] CE 6.5902 | KD 0.0029
[E0 B1400] CE 6.7830 | KD 0.0038
[E0 B1600] CE 6.6367 | KD 0.0021
[E0 B1800] CE 6.4199 | KD 0.0031
[E0 B2000] CE 6.5678 | KD 0.0041
[E0 B2200] CE 6.6424 | KD 0.0088
[E0 B2400] CE 6.5457 | KD 0.0062
[E0 B2600] CE 6.4452 | KD 0.0030
[E0 B2800] CE 6.5859 | KD 0.0056
[E0 B3000] CE 6.5012 | KD 0.0050
[E0 B3200] CE 6.2899 | KD 0.0047
[E0 B3400] CE 6.2398 | KD 0.0108
[E0 B3600] CE 6.4210 | KD 0.0044
[E0 B3800] CE 6.4300 | KD 0.0045
[E0 B4000] CE 6.4029 | KD 0.0034
[E0 B4200] CE 6.3938 | KD 0.0027
[E0 B4400] CE 6.2821 | KD 0.0018
[E0 B4600] CE 6.4731 | KD 0.0023
[E0 B4800] CE 6.4669 | KD 0.0018
[E0 B5000] CE 6.4646 | KD 0.0067
[E0 B5200] CE 6.2088 | KD 0.0024
[E0 B5400] CE 6.3101 | KD 0.0033
[E0 B5600] CE 6.0881 | KD 0.0025
[E0 B5800] CE 6.3542 | KD 0.0025
[E0 B6000] CE 6.2406 | KD 0.0017
[E0 B6200] CE 6.4167 | KD 0.0010
[E0 B6400] CE 6.2489 | KD 0.0036
[E0 B6600] CE 6.1618 | KD 0.0065
[E0 B6800] CE 5.9817 | KD 0.0052
[E0 B7000] CE 6.3093 | KD 0.0047
[E0 B7200] CE 6.1739 | KD 0.0144
[E0 B7400] CE 6.5455 | KD 0.0121
[E0 B7600] CE 6.2436 | KD 0.0128
[E0 B7800] CE 6.1722 | KD 0.0270
[E0 B8000] CE 6.0444 | KD 0.0943
[E0 B8200] CE 6.1800 | KD 0.0465
[E0 B8400] CE 6.0320 | KD 0.0306
[E0 B8600] CE 5.9136 | KD 0.0648
[E0 B8800] CE 6.2568 | KD 0.0166
[E0 B9000] CE 6.1546 | KD 0.0621
[E0 B9200] CE 6.0408 | KD 0.0179
[E0 B9400] CE 6.0812 | KD 0.0087
[E0 B9600] CE 5.8809 | KD 0.0087
[E0 B9800] CE 6.0522 | KD 0.0048
[E0 B10000] CE 6.0478 | KD 0.0083
[E0 B10200] CE 6.1572 | KD 0.0125
[E0 B10400] CE 6.1100 | KD 0.0046
[E0 B10600] CE 6.0686 | KD 0.0121
[E0 B10800] CE 6.2565 | KD 0.0146
[E0 B11000] CE 6.0813 | KD 0.0135
[E0 B11200] CE 6.0949 | KD 0.0068
[E0 B11400] CE 6.0179 | KD 0.0064
[E0 B11600] CE 6.2211 | KD 0.0087
[E0 B11800] CE 5.9362 | KD 0.0133
[E0 B12000] CE 6.1628 | KD 0.0139
[E0 B12200] CE 6.0984 | KD 0.0075
[E0 B12400] CE 6.0418 | KD 0.0209
[E0 B12600] CE 6.0335 | KD 0.0060
[E0 B12800] CE 6.1307 | KD 0.0354
[E0 B13000] CE 6.0879 | KD 0.1264
[E0 B13200] CE 5.9993 | KD 0.0182
